C:\Users\jnajmon\PycharmProjects\ANN_derivatives_TO\venv\Scripts\python.exe "C:\Program Files\JetBrains\PyCharm 2021.2.3\plugins\python\helpers\pydev\pydevconsole.py" --mode=client --port=59645
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['C:\\Users\\jnajmon\\PycharmProjects\\ANN_derivatives_TO', 'C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO'])
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 8.14.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 8.14.0
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)] on win32
runfile('C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO/Run_HBTO_ANN.py', wdir='C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO')
2023-07-05 21:54:18.766368: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
2023-07-05 21:54:19.371547: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
2023-07-05 21:54:31.910016: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
2023-07-05 21:54:32.496056: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|  47   |  46   |  711  | +1.1760e+02 | 1.39e+02 | 5.20e-02 | 1.20e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  48   |  47   |  724  | +1.1736e+02 | 1.39e+02 | 5.10e-02 | 1.12e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  49   |  48   |  731  | +1.1713e+02 | 1.39e+02 | 5.03e-02 | 9.32e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  50   |  49   |  756  | +1.1409e+02 | 1.39e+02 | 4.20e-02 | 1.74e-04 | 1.00e+00 |  2.00e-02   |   4   |
|  51   |  50   |  777  | +1.1215e+02 | 1.39e+02 | 3.08e-02 | 8.77e-05 | 1.00e+00 |  2.00e-02   |   4   |
|  52   |  51   |  800  | +1.1055e+02 | 1.39e+02 | 1.44e-02 | 8.36e-05 | 1.00e+00 |  2.00e-02   |   4   |
|  53   |  52   |  873  | +1.0994e+02 | 1.39e+02 | 1.42e-02 | 1.51e-05 | 1.00e+00 |  2.00e-02   |   4   |
|  54   |  53   |  886  | +1.0961e+02 | 1.39e+02 | 1.40e-02 | 4.05e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  55   |  54   |  898  | +1.0932e+02 | 1.39e+02 | 1.39e-02 | 3.19e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  56   |  55   |  910  | +1.0905e+02 | 1.39e+02 | 1.37e-02 | 2.75e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  57   |  56   |  922  | +1.0880e+02 | 1.39e+02 | 1.36e-02 | 2.43e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  58   |  57   |  935  | +1.0856e+02 | 1.39e+02 | 1.34e-02 | 2.29e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  59   |  58   |  948  | +1.0834e+02 | 1.39e+02 | 1.33e-02 | 2.00e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  60   |  59   |  963  | +1.0812e+02 | 1.39e+02 | 1.31e-02 | 1.88e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  61   |  60   |  978  | +1.0793e+02 | 1.39e+02 | 1.29e-02 | 1.50e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  62   |  61   |  994  | +1.0777e+02 | 1.39e+02 | 1.27e-02 | 1.24e-06 | 1.00e+00 |  2.00e-02   |   4   |
|  63   |  62   | 1009  | +1.0763e+02 | 1.39e+02 | 1.25e-02 | 9.97e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  64   |  63   | 1024  | +1.0751e+02 | 1.39e+02 | 1.24e-02 | 8.85e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  65   |  64   | 1039  | +1.0740e+02 | 1.39e+02 | 1.22e-02 | 7.95e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  66   |  65   | 1054  | +1.0730e+02 | 1.39e+02 | 1.20e-02 | 7.28e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  67   |  66   | 1069  | +1.0722e+02 | 1.39e+02 | 1.18e-02 | 6.86e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  68   |  67   | 1084  | +1.0714e+02 | 1.39e+02 | 1.17e-02 | 6.49e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  69   |  68   | 1099  | +1.0706e+02 | 1.39e+02 | 1.15e-02 | 6.18e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  70   |  69   | 1114  | +1.0699e+02 | 1.39e+02 | 1.13e-02 | 5.98e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  71   |  70   | 1129  | +1.0692e+02 | 1.39e+02 | 1.11e-02 | 5.80e-07 | 1.00e+00 |  2.00e-02   |   4   |
|  72   |  71   | 1137  | +1.0683e+02 | 1.39e+02 | 1.10e-02 | 5.54e-07 | 1.00e+00 |  2.00e-02   |   4   |
